lng,lat
16.75568,59.62515
136.48403,34.69121
115.12022,37.16670
10.94146,44.53956
10.59195,49.85508
116.61404,32.86792
12.64732,42.97825
135.71737,34.78692
22.55386,39.55198
126.39093,36.50115
-5.40994,41.52980
8.89644,44.99128
-71.52294,41.74750
22.32961,53.83992
126.53828,34.56126
22.13206,48.24092
8.42622,45.04748
-1.48898,42.03319
8.96110,52.66968
-86.89382,41.54959
-1.19850,53.18201
-1.63380,41.96980
2.87550,42.70912
139.52783,36.21198
128.71129,36.28612
121.31658,28.15870
-2.95434,53.81352
26.43237,41.49773
12.36914,43.00238
-112.74287,45.23798
24.79397,58.18391
25.56748,40.97014
-79.88677,47.91599
0.90991,51.31916
16.49215,49.31805
12.95219,41.76575
-36.36015,-8.63435
2.84280,42.61880
3.17240,43.39749
126.55260,34.56941
23.66948,38.25584
-70.96517,41.74686
14.89176,36.76674
8.08521,45.32249
13.03199,48.68743
108.48827,14.99602
14.14588,41.05302
15.73051,50.22746
8.57102,40.27413
-73.82624,42.54062
24.49220,58.43562
11.78115,51.48563
11.01826,49.63522
-73.24599,44.36915
21.41952,38.55286
-5.49850,40.02928
140.12112,36.00878
-71.59767,42.02678
25.94028,40.90838
0.31563,41.27374
12.64942,37.99820
141.40932,43.15281
126.46451,35.46069
139.85662,36.61933
138.11958,36.62648
-93.11187,44.74805
-3.28932,37.47035
136.27010,35.24294
-54.05264,-24.51301
18.32468,39.90561
108.71917,11.80572
9.48928,51.07877
12.35702,42.89560
9.54038,51.38935
21.25754,38.65595
-1.20431,41.57215
-4.87577,37.40603
22.35749,38.88656
-6.45799,38.36838
36.04651,31.52438
21.61845,47.48729
-100.57124,20.88759
-80.29503,35.46914
10.82505,52.25760
9.74522,50.73538
12.03562,48.98124
12.18119,49.46205
-71.88810,42.21713
12.23142,45.17687
140.18241,39.65409
-5.49716,41.22025
-3.00137,39.20409
10.97809,48.24005
20.68743,48.22628
22.75694,39.37741
-5.97357,38.24522
114.30643,35.97091
115.12110,37.27737
23.09339,38.56068
10.31577,45.38722
18.05729,40.35142
9.52110,49.21283
22.06894,39.33007
13.34234,49.56019
135.72007,34.78696
140.63238,43.25941
-99.58140,33.01129
